x	fresnel_s(x)	FresnelS(x) (Waterloo Maple 9)	Absolute Error	Relative Error
7.4	0.516065580377612	0.516065580377603	8.993E-15	1.74257E-14
7.5	0.460701232946826	0.460701232946831	-4.996E-15	1.08443E-14
7.6	0.538853243389628	0.538853243389632	-3.997E-15	7.41724E-15
7.7	0.482014168075995	0.482014168075985	9.992E-15	2.07297E-14
7.8	0.489645340429767	0.489645340429779	-1.199E-14	2.44879E-14
7.9	0.532342034747779	0.532342034747772	6.994E-15	1.31389E-14
8	0.460214214393014	0.460214214393014	0.000E+00	0
8.1	0.532039395641554	0.532039395641561	-6.994E-15	1.31464E-14
8.2	0.485881799857148	0.485881799857135	1.305E-14	2.68483E-14
8.3	0.493232333330838	0.493232333330852	-1.399E-14	2.83615E-14
8.4	0.524284769779940	0.524284769779929	1.099E-14	2.09642E-14
8.5	0.465341248981069	0.465341248981075	-5.995E-15	1.28835E-14
8.6	0.536927690345083	0.536927690345084	-9.992E-16	1.86096E-15
8.7	0.467739057456676	0.467739057456669	6.994E-15	1.49536E-14
8.8	0.522940932758766	0.522940932758778	-1.199E-14	2.29288E-14
8.9	0.488551546582361	0.488551546582346	1.499E-14	3.06785E-14
9	0.499861045629669	0.499861045629685	-1.599E-14	3.19833E-14
9.1	0.510413295169696	0.510413295169681	1.499E-14	2.93645E-14
9.2	0.481351929338432	0.481351929338446	-1.399E-14	2.90615E-14
9.3	0.524665859952831	0.524665859952819	1.199E-14	2.28534E-14
9.4	0.471344492246866	0.471344492246876	-1.005E-14	2.13167E-14
9.5	0.530999849151405	0.530999849151398	6.994E-15	1.31721E-14
9.6	0.467857090761813	0.467857090761817	-3.997E-15	8.54279E-15
9.7	0.532502598564268	0.532502598564265	2.998E-15	5.62927E-15
9.8	0.467577801869663	0.467577801869664	-9.992E-16	2.13697E-15
9.9	0.532149170211791	0.532149170211791	0.000E+00	0
10	0.468169978584882	0.468169978584882	0.000E+00	0

